2024-02-19 09:45:07.494304 	->	 Dark Smogfish
2024-02-19 09:49:49.390384 	->	 Meat Smogfish
2024-02-19 09:51:02.924055 	->	 Sour Smogfish
2024-02-19 09:56:52.378517 	->	 Abominable Smogfish
2024-02-19 10:02:07.038197 	->	 Snot Spray
2024-02-19 10:16:36.022692 	->	 Coco Pops Mario
2024-02-19 10:23:40.936517 	->	 Slime Crepe
2024-02-19 10:24:20.287952 	->	 Honeybunchthulhu
2024-02-19 10:42:50.328291 	->	 Super Lungfish
2024-02-19 10:47:10.359692 	->	 Bullet Cookie
2024-02-19 11:00:53.644141 	->	 Cloudy Mimosa
2024-02-19 11:01:04.648040 	->	 Sparkling Mimosa
2024-02-19 11:09:41.771786 	->	 Dark Spacefish
2024-02-19 11:10:29.522676 	->	 Titan Mooshroom
2024-02-19 11:13:11.398525 	->	 Brunch Wagon
2024-02-19 11:24:33.020209 	->	 Cloudy Burger
2024-02-19 11:27:32.202751 	->	 Titan Meat Wagon
2024-02-19 11:41:12.744972 	->	 Dark Fishing Rock
2024-02-19 11:42:37.877012 	->	 Tailorhenge
2024-02-19 11:44:27.569948 	->	 Sawdust Wagon
2024-02-19 11:53:12.781647 	->	 Supernova Mooshroom
2024-02-19 11:58:43.243819 	->	 Meat Mimosa
2024-02-19 12:00:32.157792 	->	 Bowser Mimosa
2024-02-19 12:01:10.371900 	->	 Teddy Suzette
2024-02-19 12:13:01.937932 	->	 Teddy Bear Brunch
2024-02-19 12:21:16.114363 	->	 Slimosa
2024-02-19 12:37:47.213290 	->	 Snotty Titan Mooshroom
2024-02-19 12:39:15.321250 	->	 Ice Fishing Rock
2024-02-19 12:41:49.390224 	->	 Sewinghenge
2024-02-19 12:46:21.133191 	->	 Titan Snoticorn
2024-02-19 12:46:31.270105 	->	 Coco Pops Pina Colada
2024-02-19 12:56:09.347439 	->	 Cloudy Mimosa Tea
2024-02-19 12:59:00.365634 	->	 Ironicorn Plant
2024-02-19 13:04:02.747756 	->	 Flying Snotty Toast
2024-02-19 13:09:15.766317 	->	 Tankicorn Burger
